"organization_id","project_id","project_evaluation_id","risk_factor_id","risk_priority_score","is_project_evaluation_last"
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","47bd2f50-ed34-47a9-b99e-f8c4207eea83","96e354d0-4f70-4b5b-8007-aa961556be57","1710d973-074c-4c30-8d7b-f95bd06fa736",1,True
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","47bd2f50-ed34-47a9-b99e-f8c4207eea83","96e354d0-4f70-4b5b-8007-aa961556be57","0442a458-4fc4-4f1f-a7a2-388a35023536",2,True
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","47bd2f50-ed34-47a9-b99e-f8c4207eea83","96e354d0-4f70-4b5b-8007-aa961556be57","f0424b6c-e1c0-4299-9128-16f1081550e1",3,True
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","47bd2f50-ed34-47a9-b99e-f8c4207eea83","96e354d0-4f70-4b5b-8007-aa961556be57","f7f1207c-e120-4f9e-9103-8ad99c1ede61",4,True
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","47bd2f50-ed34-47a9-b99e-f8c4207eea83","96e354d0-4f70-4b5b-8007-aa961556be57","9930919d-e316-4db7-a326-559289dc069b",5,True
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","66a31899-ac6b-43cd-8b06-d76612f2c5cc","84c4540a-7ac8-4bda-a6af-af04b8a85b75","1710d973-074c-4c30-8d7b-f95bd06fa736",1,True
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","66a31899-ac6b-43cd-8b06-d76612f2c5cc","84c4540a-7ac8-4bda-a6af-af04b8a85b75","9930919d-e316-4db7-a326-559289dc069b",2,True
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","66a31899-ac6b-43cd-8b06-d76612f2c5cc","84c4540a-7ac8-4bda-a6af-af04b8a85b75","f0424b6c-e1c0-4299-9128-16f1081550e1",3,True
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","66a31899-ac6b-43cd-8b06-d76612f2c5cc","84c4540a-7ac8-4bda-a6af-af04b8a85b75","0442a458-4fc4-4f1f-a7a2-388a35023536",4,True
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","66a31899-ac6b-43cd-8b06-d76612f2c5cc","84c4540a-7ac8-4bda-a6af-af04b8a85b75","f7f1207c-e120-4f9e-9103-8ad99c1ede61",5,True
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","93b03af2-9516-4277-a2d2-d8102e23e29f","a5c5b965-6cbd-4d8f-a45e-93c15c0cc893","0442a458-4fc4-4f1f-a7a2-388a35023536",1,True
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","93b03af2-9516-4277-a2d2-d8102e23e29f","a5c5b965-6cbd-4d8f-a45e-93c15c0cc893","1710d973-074c-4c30-8d7b-f95bd06fa736",2,True
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","93b03af2-9516-4277-a2d2-d8102e23e29f","a5c5b965-6cbd-4d8f-a45e-93c15c0cc893","9930919d-e316-4db7-a326-559289dc069b",3,True
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","93b03af2-9516-4277-a2d2-d8102e23e29f","a5c5b965-6cbd-4d8f-a45e-93c15c0cc893","f0424b6c-e1c0-4299-9128-16f1081550e1",4,True
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","93b03af2-9516-4277-a2d2-d8102e23e29f","a5c5b965-6cbd-4d8f-a45e-93c15c0cc893","f7f1207c-e120-4f9e-9103-8ad99c1ede61",5,True
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","93b03af2-9516-4277-a2d2-d8102e23e29f","ffca0b78-b38d-4b10-910e-411c9046e1b3","0442a458-4fc4-4f1f-a7a2-388a35023536",1,False
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","93b03af2-9516-4277-a2d2-d8102e23e29f","ffca0b78-b38d-4b10-910e-411c9046e1b3","1710d973-074c-4c30-8d7b-f95bd06fa736",2,False
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","93b03af2-9516-4277-a2d2-d8102e23e29f","ffca0b78-b38d-4b10-910e-411c9046e1b3","9930919d-e316-4db7-a326-559289dc069b",3,False
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","93b03af2-9516-4277-a2d2-d8102e23e29f","ffca0b78-b38d-4b10-910e-411c9046e1b3","f7f1207c-e120-4f9e-9103-8ad99c1ede61",4,False
"1c7cadcc-064f-4a66-8d38-f4828c0253b0","93b03af2-9516-4277-a2d2-d8102e23e29f","ffca0b78-b38d-4b10-910e-411c9046e1b3","f0424b6c-e1c0-4299-9128-16f1081550e1",5,False
"752146a0-91a2-402d-ad9b-d3a928868ebb","d5d583e4-4d5a-4b5d-ac35-da24f3e446c1","478b58f6-876b-4de5-9ff8-12582b5e51c0","0442a458-4fc4-4f1f-a7a2-388a35023536",1,True
"752146a0-91a2-402d-ad9b-d3a928868ebb","d5d583e4-4d5a-4b5d-ac35-da24f3e446c1","478b58f6-876b-4de5-9ff8-12582b5e51c0","1710d973-074c-4c30-8d7b-f95bd06fa736",2,True
"752146a0-91a2-402d-ad9b-d3a928868ebb","d5d583e4-4d5a-4b5d-ac35-da24f3e446c1","478b58f6-876b-4de5-9ff8-12582b5e51c0","9930919d-e316-4db7-a326-559289dc069b",3,True
"752146a0-91a2-402d-ad9b-d3a928868ebb","d5d583e4-4d5a-4b5d-ac35-da24f3e446c1","478b58f6-876b-4de5-9ff8-12582b5e51c0","f0424b6c-e1c0-4299-9128-16f1081550e1",4,True
"752146a0-91a2-402d-ad9b-d3a928868ebb","d5d583e4-4d5a-4b5d-ac35-da24f3e446c1","478b58f6-876b-4de5-9ff8-12582b5e51c0","f7f1207c-e120-4f9e-9103-8ad99c1ede61",5,True
